Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,1,1,0,0,0,1,1,0,2,1,1,6,3,5,8,3,10
310020,6,0,0,1,3,2,3,7,4,4,11,6,11,13,12,8,35
310030,3,0,0,2,1,1,0,4,2,4,7,1,5,8,9,7,21
310040,0,0,1,0,0,0,0,0,0,2,1,2,2,1,5,2,6
310050,8,3,0,1,2,3,1,1,3,0,2,2,2,4,3,3,10
310060,11,0,0,1,2,4,2,2,3,5,2,5,7,7,7,11,7
310070,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0
310080,0,0,0,0,0,2,1,0,0,0,2,1,4,4,2,5,9
310090,5,2,1,2,0,1,3,2,4,3,6,3,9,6,6,12,32
310100,11,2,0,0,1,1,1,2,1,3,2,4,1,4,4,1,4
310110,7,1,0,2,6,1,6,3,5,7,10,11,9,10,19,18,55
310120,3,0,0,0,0,1,0,2,2,5,3,1,2,2,11,9,12
310130,0,0,0,0,0,0,0,1,0,1,5,1,2,4,2,2,7
310140,0,0,0,0,0,1,0,2,1,0,0,0,0,1,2,0,1
310150,12,1,1,2,4,5,6,11,21,13,16,13,25,24,33,38,90
310160,10,1,1,5,5,11,10,10,19,24,29,30,37,27,48,54,100
310163,2,1,0,0,0,0,1,1,4,2,3,2,2,3,2,4,3
310170,17,2,0,4,4,3,10,5,10,11,9,15,18,9,28,13,56
310180,1,0,0,1,0,0,2,1,2,2,0,1,1,7,3,7,19
310190,2,0,2,1,2,2,1,1,6,3,9,9,5,5,8,13,23
310200,6,1,0,1,1,1,2,1,3,8,8,3,5,8,6,10,25
310205,0,0,0,1,0,0,0,0,0,1,1,2,1,2,1,5,5
315350,0,0,0,2,2,0,0,1,0,3,5,2,3,4,9,6,16
310210,1,1,1,1,1,3,0,4,4,2,6,3,5,11,11,13,24
310220,2,1,0,0,1,0,0,1,0,3,2,0,3,3,2,9,5
310230,3,0,0,1,2,3,0,4,7,7,2,8,6,6,11,12,28
310240,3,2,0,0,0,0,0,2,2,2,0,2,3,1,1,2,4
310250,5,0,0,1,0,0,0,1,1,4,1,1,4,7,2,6,12
310260,3,1,0,2,0,2,0,8,9,9,16,18,23,19,30,35,70
310280,5,0,0,2,0,2,0,6,7,7,8,7,6,12,15,11,27
310285,7,2,2,1,1,1,0,3,2,2,1,3,3,4,6,0,3
310290,1,1,0,0,1,2,2,6,6,3,4,4,5,6,6,6,13
310300,7,1,0,1,3,3,3,1,2,2,4,7,9,11,3,9,9
310310,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
310320,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
310330,0,0,0,0,1,0,0,2,2,1,1,1,1,3,2,4,3
310340,16,2,1,3,3,7,6,5,5,4,8,11,12,12,17,13,59
310350,26,4,4,5,12,18,18,22,28,24,35,42,44,64,66,76,137
310360,0,0,0,0,0,0,2,1,1,0,2,0,1,2,2,2,4
310370,4,0,2,0,0,1,0,2,3,2,2,0,1,5,3,4,6
310375,2,0,0,1,1,1,2,0,0,1,2,0,4,1,8,2,2
310380,2,1,0,0,1,0,0,0,2,1,0,1,1,1,2,1,4
310390,2,0,0,1,1,0,1,1,1,2,2,4,1,3,6,6,9
310400,15,1,1,7,4,9,11,20,22,38,35,46,51,55,66,72,147
310410,1,0,0,0,2,1,3,1,1,0,1,4,2,8,4,12,13
310420,5,0,1,2,2,0,1,11,8,15,15,13,8,16,13,23,32
310430,1,1,0,0,1,2,2,2,2,2,3,7,8,7,5,14,24
310440,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,4,7
310445,0,0,0,1,1,0,0,0,1,1,1,5,1,3,2,3,3
310450,4,0,1,2,0,4,2,3,5,6,6,5,6,4,6,8,15
310460,5,0,1,1,1,3,1,1,2,4,5,5,4,4,9,13,21
310470,4,1,0,1,3,2,2,4,2,3,1,0,3,8,5,5,11
310480,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,1
310490,4,0,0,1,2,0,0,3,5,4,4,5,4,11,8,19,31
310500,1,1,0,1,0,0,1,0,2,0,3,2,2,3,2,1,5
310510,6,0,1,3,4,2,3,8,4,6,6,16,9,24,18,24,39
310520,0,0,0,0,0,0,0,1,0,1,3,4,0,0,2,1,5
310530,0,0,0,0,0,0,2,0,1,0,2,2,3,2,1,4,9
310540,4,0,0,1,4,8,2,7,9,11,8,9,11,6,14,16,29
310550,0,0,0,0,0,1,0,0,3,3,3,3,5,0,3,3,9
310560,42,3,5,10,14,21,21,33,50,55,64,65,66,90,89,114,170
310570,2,0,0,0,0,1,1,1,1,1,0,5,1,5,6,5,16
310590,9,0,1,0,5,3,3,3,4,9,8,13,15,11,14,23,22
310600,6,0,1,0,1,0,0,4,2,4,1,3,4,5,2,7,9
310610,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0
310620,512,51,78,337,547,427,416,444,600,713,767,852,998,1206,1257,1345,3156
310630,5,0,0,1,1,5,4,4,7,2,7,5,6,9,11,8,30
