Municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
310010,2,0,2,0,1,0,2,1,1,0,0,1,1,0,2,0,1,0
310020,1,13,5,7,6,12,8,4,5,4,6,2,5,5,0,2,2,3
310030,6,8,8,5,2,5,6,4,7,4,4,7,1,2,5,4,0,0
310040,1,0,2,1,0,1,0,4,1,2,1,0,2,0,0,0,0,0
310050,5,1,4,5,6,3,2,2,2,2,2,1,2,2,1,3,0,0
310060,7,6,3,4,8,11,7,0,4,2,0,4,5,2,1,0,1,3
310070,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
310080,0,2,1,1,0,0,1,0,0,1,0,2,1,0,0,1,0,3
310090,5,12,5,8,5,10,10,8,5,5,5,2,1,6,4,6,7,5
310100,3,6,5,5,10,9,9,5,3,1,0,2,3,3,3,3,3,0
310110,10,8,8,10,7,7,4,4,3,2,5,5,4,5,3,6,5,0
310120,2,2,2,1,3,3,1,3,1,1,1,0,0,0,0,1,0,0
310130,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,1,2,0
310140,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0
310150,18,11,12,17,10,7,7,5,10,4,12,8,16,7,3,5,12,8
310160,40,32,26,24,8,12,13,18,8,11,13,3,16,11,10,8,15,14
310163,3,1,2,1,2,3,7,2,1,0,1,1,0,3,1,0,1,2
310170,36,26,20,19,16,13,13,11,15,11,12,7,5,8,8,9,10,7
310180,0,5,1,0,1,5,3,2,1,0,0,0,2,0,3,2,1,0
310190,14,6,4,4,2,6,1,0,6,2,5,0,5,2,5,1,7,1
310200,5,5,6,4,6,2,0,3,1,2,0,1,3,4,2,2,0,1
310205,1,1,3,3,0,0,1,1,4,2,2,1,1,1,0,2,1,0
315350,4,4,1,3,0,3,1,2,3,3,1,0,0,1,2,0,1,0
310210,3,7,5,4,1,1,1,2,2,1,0,1,0,2,3,1,2,5
310220,2,0,0,1,2,0,2,0,0,0,0,1,1,0,0,1,2,0
310230,9,5,4,3,3,6,2,2,5,2,8,1,1,1,2,1,1,5
310240,1,4,1,3,2,2,1,0,1,0,1,1,1,3,0,0,0,3
310250,0,1,8,1,3,2,1,2,3,1,1,1,3,1,2,0,1,0
310260,10,7,7,4,3,1,3,4,1,5,1,2,4,7,6,3,2,6
310280,0,0,3,2,5,2,3,4,1,3,0,2,2,3,1,1,1,1
310285,2,1,0,1,7,8,1,3,3,4,4,7,6,4,1,2,1,2
310290,3,5,8,1,1,4,3,3,0,4,2,2,3,1,0,0,0,3
310300,2,5,3,2,6,4,5,3,3,3,2,1,1,2,2,1,1,2
310310,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
310320,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0
310330,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
310340,5,3,7,11,14,9,6,5,16,12,6,12,7,3,4,9,8,7
310350,43,24,24,23,22,19,18,24,12,20,15,18,19,16,11,20,16,21
310360,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
310370,4,3,6,4,3,1,0,4,2,4,0,0,1,0,0,0,1,0
310375,1,0,1,2,2,1,0,0,0,1,1,4,1,0,3,1,1,1
310380,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1
310390,2,1,7,0,2,1,1,2,2,0,1,3,4,1,1,1,1,1
310400,23,15,28,25,13,21,14,18,20,20,10,20,13,18,17,15,17,14
310410,0,2,1,1,0,1,1,3,4,0,0,1,2,2,0,1,0,1
310420,8,7,4,7,5,7,1,3,7,5,6,4,4,5,3,3,4,8
310430,2,2,5,6,1,2,2,1,4,3,1,2,3,4,2,0,1,2
310440,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
310445,0,1,1,7,0,0,0,2,0,1,0,0,0,1,0,0,1,0
310450,7,4,7,4,4,4,6,1,2,6,3,4,3,2,1,1,2,6
310460,3,2,6,2,4,2,2,2,1,3,3,1,2,3,0,3,1,4
310470,3,3,9,5,2,5,4,5,2,5,2,1,4,4,2,2,3,3
310480,0,0,2,1,1,5,1,2,1,2,1,0,1,1,0,0,0,0
310490,8,10,2,2,3,6,2,7,2,4,1,3,2,4,6,1,0,3
310500,4,0,3,4,1,1,0,2,2,1,0,0,1,1,5,1,1,2
310510,4,4,2,7,5,7,8,5,4,0,4,3,3,2,3,2,3,2
310520,0,1,0,0,0,1,1,0,0,2,1,2,0,1,2,1,2,1
310530,2,0,1,1,0,0,0,1,2,2,0,2,2,1,2,0,1,1
310540,12,16,8,10,4,3,8,4,6,4,5,5,5,2,3,4,3,7
310550,1,0,1,3,0,3,1,1,2,5,2,0,3,2,1,0,1,3
310560,60,36,50,36,41,32,38,36,32,33,19,35,23,23,16,17,9,14
310570,0,0,2,0,2,0,2,2,1,1,0,0,1,1,0,0,0,1
310590,10,9,7,8,9,7,6,6,1,1,4,4,2,1,3,3,1,4
310600,8,6,2,3,6,3,4,2,1,4,1,1,3,3,5,1,2,1
310610,0,0,0,0,1,0,1,1,1,0,1,1,2,0,1,1,2,0
310620,657,519,443,529,443,467,400,357,365,341,354,329,343,302,316,323,276,301
310630,9,4,9,7,4,7,7,3,5,9,4,1,3,2,2,3,1,4
310640,1,3,2,0,1,0,3,2,0,1,2,1,1,2,0,0,0,1
310650,4,1,2,4,5,6,3,1,2,5,2,3,2,0,1,0,1,1
310665,0,1,2,2,1,0,0,1,2,0,0,1,1,2,1,1,1,1
310660,1,0,1,2,4,0,5,6,9,4,7,4,3,2,7,8,3,1
310670,112,100,119,97,77,87,74,51,79,79,53,63,62,86,69,77,56,50
310680,5,3,2,3,0,3,0,0,3,1,2,0,1,0,0,0,1,1
310690,2,3,5,4,2,3,3,1,1,2,2,3,2,5,2,2,0,2
310700,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
310710,15,15,15,14,13,16,14,8,6,10,8,5,4,6,9,12,10,8
310720,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0
310730,12,22,16,10,19,9,13,16,7,8,9,17,14,6,8,9,6,11
310740,11,9,9,9,13,6,13,5,11,7,7,11,5,6,7,8,9,7
310750,4,4,0,0,3,1,2,1,0,2,0,2,2,1,1,0,0,1
310760,1,0,0,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0
310770,1,2,1,3,1,0,1,1,0,1,3,2,1,0,1,1,1,0
310780,9,6,3,7,8,7,12,4,1,1,6,2,4,4,1,0,2,0
310790,2,4,5,2,0,1,3,1,0,1,0,0,1,0,0,0,2,1
310800,17,10,5,11,11,6,3,6,6,3,3,4,4,4,1,5,0,3
310810,1,1,0,1,1,1,0,1,0,1,0,0,1,0,2,0,0,1
310820,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1
310825,2,0,0,2,1,1,1,2,2,8,3,3,3,3,0,2,1,1
310830,4,6,5,3,2,1,2,4,3,2,2,2,6,1,6,2,2,3
310840,2,4,0,4,3,2,3,3,0,3,1,3,1,4,2,2,3,7
310850,1,1,3,1,2,2,0,2,0,1,2,0,3,0,0,1,0,1
310870,4,2,2,1,3,2,0,0,1,1,2,1,0,1,0,2,1,0
310855,1,0,4,3,2,2,8,1,3,1,3,3,2,3,3,2,1,3
310860,7,8,11,4,1,14,5,14,5,8,8,7,4,6,4,4,4,4
310880,1,0,1,0,1,0,2,0,1,0,0,1,1,0,1,1,0,0
310890,2,8,3,4,4,3,4,2,4,4,2,3,2,2,0,0,2,4
310900,6,8,5,2,6,1,3,8,5,7,7,3,6,5,4,6,3,3
310910,3,3,5,5,5,1,0,0,3,0,1,0,0,0,1,2,2,1
310920,5,5,2,5,2,2,2,3,2,4,2,0,4,2,0,1,2,1
