Municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
310010,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310020,0,2,1,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0
310030,2,4,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
310040,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310050,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
310060,3,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0
310070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310090,2,5,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
310100,0,0,2,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0
310110,6,1,0,3,1,0,2,1,0,0,2,3,0,0,0,0,1,0
310120,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
310130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310150,2,2,2,3,3,0,1,0,1,0,0,0,0,0,0,2,1,0
310160,3,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
310163,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310170,4,6,1,4,4,1,3,0,1,1,2,0,0,0,2,1,0,0
310180,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
310190,6,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1
310200,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315350,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
310210,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310230,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
310240,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
310250,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
310260,2,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
310280,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
310285,1,0,0,1,2,2,0,0,2,2,0,1,0,0,0,0,0,1
310290,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310300,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
310310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310340,2,0,4,3,2,3,0,0,1,0,0,0,2,1,0,0,0,1
310350,4,1,6,2,5,2,0,1,0,1,0,0,0,0,1,2,0,1
310360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310370,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
310375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310390,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310400,5,4,4,5,0,0,3,1,1,0,0,0,1,0,0,1,0,0
310410,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310420,2,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0
310430,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0
310440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310445,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310450,1,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,1,1
310460,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310470,1,2,3,1,0,3,0,0,1,0,1,0,1,0,0,0,0,0
310480,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
310490,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310500,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
310510,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
310520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
310530,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310540,2,6,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1
310550,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310560,13,6,8,2,1,1,1,2,1,0,0,3,1,2,0,1,0,0
310570,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310590,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
310600,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
310610,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310620,80,67,38,55,43,33,16,16,17,17,10,17,12,3,6,4,10,4
310630,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
310640,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310650,2,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
310665,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
310660,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310670,11,9,12,14,13,9,5,4,2,1,0,3,2,3,4,3,1,1
310680,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310690,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
310700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310710,3,3,3,3,2,1,1,0,0,0,0,0,1,0,0,4,2,5
310720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310730,3,6,5,3,3,3,0,2,0,0,0,1,0,1,0,0,0,1
310740,1,2,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0
310750,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310770,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310780,2,0,1,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0
310790,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310800,3,3,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
310810,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310825,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
310830,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310840,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310850,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310870,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
310855,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310860,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1
310880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310890,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
310900,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0
310910,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310920,1,2,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
310925,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
310930,1,3,1,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0
310940,4,6,4,3,8,3,0,3,0,1,2,1,0,1,0,0,0,0
310945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310950,1,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1
310960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310970,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
310270,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0
310980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310990,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
311000,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311010,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311020,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
311030,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
311040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311050,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
311060,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311070,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
311080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311090,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
311100,0,2,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
311110,2,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
311115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311120,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
311130,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
311140,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
311150,4,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0
311160,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,1,0
311190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311200,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
311205,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
311210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311230,1,1,1,3,2,2,1,4,1,4,0,1,0,0,0,0,0,1
311240,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
311250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
311260,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
311265,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
311270,1,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
311280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311290,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
311300,0,2,2,0,2,1,0,1,1,1,0,2,0,1,0,0,0,1
311310,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
311320,2,1,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
311330,4,2,2,2,3,1,1,0,0,2,0,1,0,0,0,0,0,0
311340,8,4,3,2,2,7,6,2,4,5,2,1,1,0,0,0,1,1
311350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311370,7,0,2,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0
311380,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
311390,4,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
311400,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
311410,0,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
311420,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
