Municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
310010,6612,6640,6665,6689,6712,6733,6754,6773,6791,6809,6827,6846,6864,6882,6901,6920,6937,6954
310020,22935,22957,22978,22997,23015,23032,23048,23064,23078,23093,23107,23122,23137,23151,23166,23181,23195,23209
310030,13691,13673,13657,13642,13628,13615,13602,13590,13579,13567,13556,13544,13533,13521,13510,13498,13487,13476
310040,3989,3989,3990,3990,3990,3991,3991,3991,3991,3992,3992,3992,3993,3993,3993,3993,3994,3994
310050,11784,11612,11456,11310,11171,11039,10914,10799,10685,10573,10465,10351,10237,10125,10012,9897,9789,9684
310060,18253,17891,17562,17254,16962,16683,16419,16177,15938,15701,15474,15234,14993,14758,14520,14277,14050,13828
310070,2146,2135,2125,2116,2107,2099,2091,2083,2076,2069,2062,2055,2047,2040,2033,2026,2019,2012
310080,3654,3716,3772,3824,3874,3922,3967,4008,4049,4089,4128,4169,4210,4250,4291,4332,4371,4409
310090,18304,18371,18432,18489,18543,18595,18644,18689,18733,18777,18819,18863,18908,18952,18996,19041,19083,19124
310100,12183,12284,12375,12461,12542,12620,12693,12761,12827,12893,12956,13023,13090,13155,13221,13289,13352,13414
310110,25751,25708,25668,25631,25596,25563,25531,25502,25474,25445,25418,25389,25360,25332,25304,25275,25247,25221
310120,6635,6588,6545,6506,6468,6432,6397,6366,6335,6304,6275,6244,6213,6182,6151,6120,6091,6062
310130,2872,2857,2844,2831,2820,2808,2797,2788,2778,2768,2759,2749,2739,2730,2720,2710,2701,2692
310140,2914,2921,2927,2933,2939,2944,2949,2954,2958,2963,2967,2972,2976,2981,2985,2990,2994,2998
310150,34474,34540,34600,34656,34709,34760,34808,34852,34896,34939,34980,35024,35068,35110,35154,35198,35239,35280
310160,68679,69519,70283,70998,71676,72323,72936,73499,74054,74603,75130,75687,76246,76793,77344,77908,78435,78951
310163,5232,5356,5470,5575,5676,5771,5862,5945,6028,6109,6187,6269,6352,6433,6515,6598,6676,6753
310170,36295,36711,37089,37443,37778,38099,38402,38681,38955,39227,39488,39764,40040,40311,40584,40863,41124,41379
310180,7145,7166,7185,7202,7219,7235,7250,7264,7277,7291,7304,7318,7332,7345,7359,7372,7385,7398
310190,17469,17646,17807,17958,18100,18237,18366,18484,18601,18717,18828,18945,19063,19178,19294,19413,19524,19633
310200,13310,13396,13474,13547,13616,13682,13745,13802,13859,13915,13969,14026,14083,14139,14195,14253,14307,14359
310205,4793,4871,4942,5009,5072,5132,5190,5242,5294,5345,5394,5446,5498,5549,5600,5653,5702,5750
315350,8675,8648,8624,8602,8580,8560,8540,8523,8505,8488,8471,8453,8436,8418,8401,8383,8366,8350
310210,14214,13975,13758,13555,13363,13179,13005,12845,12688,12532,12382,12224,12065,11910,11753,11593,11443,11297
310220,5346,5239,5142,5051,4965,4883,4805,4733,4663,4593,4526,4455,4384,4315,4245,4173,4106,4040
310230,15989,15931,15878,15828,15781,15736,15693,15654,15616,15578,15541,15502,15464,15426,15387,15348,15311,15276
310240,3618,3617,3616,3615,3615,3614,3613,3613,3612,3612,3611,3610,3610,3609,3609,3608,3607,3607
310250,5618,5557,5501,5448,5399,5351,5307,5265,5225,5185,5146,5105,4983,4943,4904,4864,4825,4788
310260,33816,34355,34845,35304,35739,36154,36547,36908,37265,37617,37955,38313,38671,39022,39376,39737,40076,40407
310280,12627,12597,12570,12544,12520,12497,12475,12455,12435,12416,12397,12377,12357,12338,12318,12298,12279,12261
310285,7660,7724,7782,7836,7888,7937,7983,8026,8068,8110,8150,8192,8235,8276,8318,8361,8401,8440
310290,11149,11171,11191,11210,11228,11244,11261,11275,11290,11304,11318,11333,11347,11362,11376,11391,11405,11418
310300,10302,10229,10162,10100,10041,9985,9932,9883,9835,9787,9741,9693,9644,9596,9548,9499,9454,9409
310310,1840,1822,1806,1790,1776,1762,1749,1737,1725,1713,1702,1690,1678,1666,1655,1643,1631,1620
310320,2200,2211,2221,2230,2239,2247,2255,2263,2270,2277,2284,2291,2299,2306,2313,2320,2327,2334
310330,2140,2134,2129,2124,2120,2115,2111,2107,2103,2100,2096,2092,2088,2085,2081,2077,2073,2070
310340,36631,36637,36642,36647,36651,36656,36660,36664,36668,36671,36675,36679,36683,36686,36690,36694,36698,36701
310350,104596,105537,106392,107193,107952,108676,109362,109992,110614,111229,111819,112443,113068,113681,114298,114929,115520,116097
310360,2981,2967,2955,2943,2932,2921,2911,2902,2893,2884,2875,2866,2857,2848,2839,2829,2821,2812
