"";"Trienio";"Nome_Microrregiao";"COD_Microrregiao_Geografica";"Categoria 1 ou Adequada (C1)";"Categoria 2 ou Intermediária (C2)";"Categoria 3 ou Inadequada (C3)";"Indice_Adequacao"
"1";"2000_2002";"Aimores";"31041";0;0,956203506229569;0,0437964937704309;43,4305259344354
"2";"2000_2002";"Alfenas";"31049";0,752594572709647;0,232350995958829;0,0150544313315244;85,3715639357537
"3";"2000_2002";"Almenara";"31014";0;0,848947188005184;0,151052811994816;27,3420782007777
"4";"2000_2002";"Andrelandia";"31055";0,053502261770962;0,830761942800881;0,115735795428157;35,3147437743245
"5";"2000_2002";"Aracuai";"31012";0;0,207513580455403;0,792486419544597;-68,8729629316896
"6";"2000_2002";"Araxa";"31023";0,0367814516365915;0,838275581839366;0,124942966524042;33,0976276032233
"7";"2000_2002";"Barbacena";"31059";0;1;0;50
"8";"2000_2002";"Belo_Horizonte";"31030";0,0793353174513956;0,920664682548604;0;53,9667658725698
"9";"2000_2002";"Bocaiuva";"31009";0;0,858938419817789;0,141061580182212;28,8407629726683
"10";"2000_2002";"Bom_Despacho";"31026";0,116548052235581;0,849885194562186;0,0335667532022325;50,7923896314442
"11";"2000_2002";"Campo_Belo";"31045";0;1;0;50
"12";"2000_2002";"Capelinha";"31011";0;0,404384235110231;0,595615764889769;-39,3423647334654
"13";"2000_2002";"Caratinga";"31040";0,0334060934989122;0,966593906501088;0;51,6703046749456
"14";"2000_2002";"Cataguases";"31066";0,5359782287026;0,4640217712974;0;76,79891143513
"15";"2000_2002";"Conceicao_do_Mato_Dentro";"31028";0;0,700344638684132;0,299655361315868;5,05169580261981
"16";"2000_2002";"Conselheiro_Lafaiete";"31034";0,109836913610499;0,890163086389501;0;55,4918456805249
"17";"2000_2002";"Curvelo";"31025";0;0,907708255632829;0,0922917443671705;36,1562383449244
"18";"2000_2002";"Diamantina";"31010";0;1;0;50
"19";"2000_2002";"Divinopolis";"31043";0,160121534371439;0,839878465628561;0;58,006076718572
"20";"2000_2002";"Formiga";"31044";0;0,974280870959182;0,0257191290408177;46,1421306438773
"21";"2000_2002";"Frutal";"31021";0;0,988567786081787;0,0114322139182131;48,285167912268
"22";"2000_2002";"Governador_Valadares";"31037";0;0,859638319514876;0,140361680485124;28,9457479272314
"23";"2000_2002";"Grao_Mogol";"31008";0;0,82917890362323;0,17082109637677;24,3768355434845
"24";"2000_2002";"Guanhaes";"31035";0;0,940875087805691;0,0591249121943095;41,1312631708536
"25";"2000_2002";"Ipatinga";"31039";0,078799975085609;0,921200024914391;0;53,9399987542805
"26";"2000_2002";"Itabira";"31031";0,0248178706633756;0,969725266808016;0,00545686252860829;50,4223641538775
"27";"2000_2002";"Itaguara";"31032";0;1;0;50
"28";"2000_2002";"Itajuba";"31056";0,0619365493542079;0,917539773379116;0,0205236772666757;50,018275877709
"29";"2000_2002";"Ituiutaba";"31017";0,0332338905343667;0,910868365942359;0,0558977435232744;43,2770329982272
"30";"2000_2002";"Janauba";"31004";0;0,832183203446033;0,167816796553967;24,8274805169049
"31";"2000_2002";"Januaria";"31003";0,205870625133443;0,631424652218887;0,16270472264767;35,8878228595217
"32";"2000_2002";"Juiz_de_Fora";"31065";0,149628853913204;0,648279175778483;0,202091970308313;27,1676471494133
"33";"2000_2002";"Lavras";"31057";0;1;0;50
"34";"2000_2002";"Manhuacu";"31061";0;1;0;50
"35";"2000_2002";"Mantena";"31038";0;0,86915464424639;0,13084535575361;30,3731966369585
"36";"2000_2002";"Montes_Claros";"31007";0,0261498401530385;0,480211651483245;0,493638508363717;-22,7382842469056
"37";"2000_2002";"Muriae";"31063";0;0,777266421319837;0,222733578680163;16,5899631979755
"38";"2000_2002";"Nanuque";"31016";0;0,177634953377489;0,822365046622511;-73,3547569933766
"39";"2000_2002";"Oliveira";"31046";0,342557194434504;0,657442805565496;0;67,1278597217252
"40";"2000_2002";"Ouro_Preto";"31033";0;0,621258132086136;0,378741867913864;-6,81128018707954
"41";"2000_2002";"Para_de_Minas";"31029";0;1;0;50
"42";"2000_2002";"Paracatu";"31002";0;0,842414407563834;0,157585592436166;26,362161134575
"43";"2000_2002";"Passos";"31047";0,181256121339953;0,818743878660046;0;59,0628060669977
"44";"2000_2002";"Patos_de_Minas";"31020";0;1;0;50
"45";"2000_2002";"Patrocinio";"31019";0;0,97214537909948;0,0278546209005205;45,8218068649219
"46";"2000_2002";"Pecanha";"31036";0;0,923844658914984;0,076155341085016;38,5766988372476
"47";"2000_2002";"Pedra_Azul";"31013";0;0,371427134288193;0,628572865711807;-44,285929856771
